tax_id	GeneID	relationship	Other_tax_id	Other_GeneID
9606	1	Ortholog	10090	117586
9606	1	Ortholog	10116	140656
9606	2	Ortholog	10116	24153
9606	9	Ortholog	10090	17960
9606	13	Ortholog	10090	67758
9606	13	Ortholog	10116	57300
9606	14	Ortholog	10090	227290
9606	14	Ortholog	10116	301512
9606	15	Ortholog	10090	11298
9606	15	Ortholog	10116	25120
9606	16	Ortholog	10090	234734
9606	16	Ortholog	10116	292023
9606	18	Ortholog	10090	268860
9606	18	Ortholog	10116	81632
9606	19	Ortholog	10090	11303
9606	19	Ortholog	10116	313210
9606	20	Ortholog	10090	11305
9606	20	Ortholog	10116	79248
9606	21	Ortholog	10116	302973
9606	22	Ortholog	10090	11306
9606	22	Ortholog	10116	302395
9606	23	Ortholog	10090	224742
9606	23	Ortholog	10116	85493
9606	24	Ortholog	10090	11304
9606	24	Ortholog	10116	310836
9606	25	Ortholog	10090	11350
9606	25	Ortholog	10116	311860
9606	26	Ortholog	10116	65029
9606	27	Ortholog	10090	11352
9606	27	Ortholog	10116	304883
9606	28	Ortholog	10090	80908
9606	28	Ortholog	10116	100301568
9606	29	Ortholog	10090	109934
9606	29	Ortholog	10116	287537
9606	30	Ortholog	10090	235674
9606	31	Ortholog	10090	107476
9606	31	Ortholog	10116	60581
9606	32	Ortholog	10090	100705
9606	32	Ortholog	10116	116719
9606	33	Ortholog	10090	11363
9606	33	Ortholog	10116	25287
9606	34	Ortholog	10090	11364
9606	34	Ortholog	10116	24158
9606	35	Ortholog	10090	11409
9606	35	Ortholog	10116	64304
9606	36	Ortholog	10090	66885
9606	36	Ortholog	10116	25618
9606	37	Ortholog	10090	11370
9606	37	Ortholog	10116	25363
9606	38	Ortholog	10090	110446
9606	38	Ortholog	10116	25014
9606	39	Ortholog	10116	308100
9606	40	Ortholog	10090	11418
9606	40	Ortholog	10116	25364
9606	41	Ortholog	10090	11419
9606	41	Ortholog	10116	79123
9606	43	Ortholog	10090	11423
9606	43	Ortholog	10116	83817
9606	47	Ortholog	10090	104112
9606	47	Ortholog	10116	24159
9606	48	Ortholog	10090	11428
9606	48	Ortholog	10116	50655
9606	49	Ortholog	10090	11434
9606	49	Ortholog	10116	24163
9606	50	Ortholog	10090	11429
9606	50	Ortholog	10116	79250
9606	51	Ortholog	10090	11430
9606	51	Ortholog	10116	50681
9606	52	Ortholog	10090	11431
9606	52	Ortholog	10116	24161
9606	53	Ortholog	10090	11432
9606	53	Ortholog	10116	24162
